id,tag_name
1,Adventure
2,Drama
3,Fantasy
4,Shounen
5,Action
6,Military
7,Sci-Fi
8, Suspense
9,Psychological
10,Time Travel
11,Comedy
12,Gag Humor
13,Historical
14,Parody
15,Samurai
16,Gore
17,survival
18,Seinen
19,Adult Cast
20,Space
21,Romance
22,Supernatural
23,Shoujo
24,Award Winning
25,Remantic Subtext
26,Childcare
27,Strategy Game
28,Mecha
29,Super Power
30,Vampire
31,Sports
32,School
33,Team Sports
34,Mystery
35,Medical
36,CGDCT
37,Music
38,Mythology
39,Cambat Sports
40,Slice of Life
41, Iyashikei
42,Love Polygon
43,Performing Arts
44,Josei
45,Reincarnation
46,Showbiz
47,Delinquents
48,Workplace
49,Isekai
50,Anthropomorphic
51,Organized Crime
52,Detective
53,Love Polygon
54,Otaku Culture
55,Martial Arts
56,Harem
57,Visual Arts
58,Mahou Shoujo
59,Ecchi
60,Racing
61,Idols
62,Boys Love
63,Horror
64,High Stakes Game
65,Kids
66,Video Game
